Id,Label,timeset,0,indegree,outdegree,Degree,clustering,eigencentrality,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
Surface Science,Surface Science,,0,35,20,55,0.618758,0.081801,0,3,0.410485,0.443373,0.000072
System Integration,System Integration,,0,15,39,54,0.578205,0.12646,5,3,0.499398,0.530924,0.000165
Systems Modeling Language,Systems Modeling Language,,0,72,27,99,0.744196,0.564644,5,3,0.423902,0.461847,0.000212
Systems Analysis,Systems Analysis,,0,83,28,111,0.628327,0.603406,5,3,0.489387,0.515261,0.00087
Systems Development Life Cycle,Systems Development Life Cycle,,0,73,85,158,0.724673,0.572053,5,2,0.557047,0.60241,0.000494
Systems Engineering,Systems Engineering,,0,102,113,215,0.441322,0.663328,5,2,0.578801,0.636145,0.012333
Systems Science,Systems Science,,0,32,25,57,0.39547,0.128075,0,3,0.503641,0.52249,0.000483
Systems Theory,Systems Theory,,0,34,197,231,0.191767,0.111968,0,2,0.655608,0.737349,0.008488
Technoscience,Technoscience,,0,19,181,200,0.206262,0.044875,0,2,0.639445,0.718072,0.000882
Theoretical Biology,Theoretical Biology,,0,18,40,58,0.484336,0.043308,4,3,0.450597,0.495582,0.000159
Theoretical Chemistry,Theoretical Chemistry,,0,34,27,61,0.528502,0.077821,0,3,0.418347,0.456627,0.000429
